,ABCD,ALSPAC,GECKO,GEN_R,HSS,REPRO,ROLO,SWS
WEIGHT4_6,1,,1,1,1,,1,1
WEIGHT7_9,,1,,1,,1,,1
HEIGHT4_6,1,,1,1,1,,1,1
HEIGHT7_9,,1,,1,,1,,1
TOTAL_FAT4_6,1,,,1,1,,1,1
TOTAL_FAT_CON4_6,1,,1,1,1,,1,1
TOTAL_FAT_CON7_9,,1,,1,,1,,1
ABDOMINAL_FAT4_6,,,,1,1,,1,
ABDOMINAL_FAT7_9,,1,,1,,,,
WC_CORRECT4_6,1,,1,,1,,1,1
WC4_6,1,,1,,1,,1,1
WC7_9,,,,,,1,,1
WC_CORRECT7_9,,,,,,1,,1
MACROSOMIA_4000,1,1,1,1,1,1,1,1
MACROSOMIA_4500,1,1,1,1,1,1,1,1
PONDERAL_INDEX,,1,1,1,1,1,1,1
PUBERTY,,1,,,,,,
AGE4_6,1,,1,1,1,,1,1
AGE7_9,,1,,1,,1,,1
TOTAL_FAT7_9,,1,,1,,,,1
MATERNAL_BMI,1,1,1,1,1,1,1,1
MATERNAL_OB,1,1,1,1,1,1,1,1
ETHNICITY,1,1,1,1,1,1,1,1
GDM,1,1,1,1,1,1,1,1
SEX,1,1,1,1,1,1,1,1
SMOKING,1,1,1,1,1,1,1,1
GESTATIONAL_AGE,1,1,1,1,1,1,1,1
PREECLAMPSIA,1,1,1,1,1,1,1,1
BIRTHWEIGHT,1,1,1,1,1,1,1,1
MATERNAL_EDU,1,1,1,1,1,1,1,1
