,AusDiab,CKB,ELSA,FMC,HOORN,JPHC,NOWAC,NHAPC,SMC,SUN,Whitehall,Zutphen,WHI,CARDIA,ARIC,MESA,PRHHP,CHS,Golestan,InterAct_denmark,InterAct_france,InterAct_germany,InterAct_italy,InterAct_netherlands,InterAct_spain,InterAct_sweden,InterAct_uk
AGE_BASE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TYPE_DIAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PREV_DIAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CASE_OBJ_SELF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CASE_OBJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FUP_OBJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FUP_OBJ_SELF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FATTY,,,,1,1,1,1,,1,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1
FRESH,,,,1,,1,,1,,,,1,,,,,,,1,,,,,,,,
FRIED,1,,1,1,1,,,,1,1,1,1,1,1,,1,,,1,1,,1,1,1,1,1,1
LEAN,,,,1,1,1,1,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1
NONFISH,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,1,1,1,1
SALT,,,,1,,,,1,,,,1,,,,,,,1,,,,,,,,
SSD,,,,1,,1,,1,,,,1,,,,,1,,1,,,,,,,,
TOTAL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1
SEX,1,1,1,1,1,1,,1,1,,1,,,1,1,1,,,1,1,,1,1,1,1,1,1
BMI,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1
EDUCATION,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1
SMOKING,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1
PA,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1
ALCOHOL,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1
FAM_DIAB,1,1,1,1,1,1,,1,1,,1,1,1,1,1,,1,,,1,1,1,,1,,1,1
E_INTAKE,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1
FRUIT,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1
VEG,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1
FIBER,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1
SUG_BEVS,,,1,,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1
WAIST,1,1,1,,1,,,1,1,,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1
SUPPLEMENTS,,1,1,,,,1,1,1,,1,,,,,,,,,,,,,,,,
COMORBID,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1
MEAT,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1
QRT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SERVINGS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tid.f,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CENSOR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
