"";"desc";"Estimate";"Std. Error";"z-value";"p-value";"low0.95CI";"high0.95CI"
"(Intercept)_ABCD";"BIRTH_WEIGHT~MOD_VIG+";3477,97714889396;7,61754925805558;456,574290637634;0;3463,04702669771;3492,90727109021
"MOD_VIG_ABCD";"BIRTH_WEIGHT~MOD_VIG+";10,8779918057846;2,03426396272047;5,34738460943743;8,92342648429789e-08;6,89090770380479;14,8650759077645
"(Intercept)_ABCD1";"BIRTH_WEIGHT~MOD_VIG+GESTATIONAL_AGE";-2542,66850048419;180,020604515084;-14,1243193096329;2,68986353114504e-45;-2895,50240180888;-2189,83459915949
"MOD_VIG_ABCD1";"BIRTH_WEIGHT~MOD_VIG+GESTATIONAL_AGE";7,77700852506464;1,88122528640007;4,13401232764991;3,5648434026167e-05;4,08987471691445;11,4641423332148
"GESTATIONAL_AGE_ABCD";"BIRTH_WEIGHT~MOD_VIG+GESTATIONAL_AGE";150,436449240041;4,49469538087945;33,4697763679384;1,32718192878261e-245;141,627008172039;159,245890308043
"(Intercept)_ABCD2";"BIRTH_WEIGHT~MOD_VIG+GESTATIONAL_AGE+SEX";-2477,39745181604;177,89014670855;-13,9265580340149;4,36908921698301e-44;-2826,05573256935;-2128,73917106274
"MOD_VIG_ABCD2";"BIRTH_WEIGHT~MOD_VIG+GESTATIONAL_AGE+SEX";7,5970063196053;1,85824804858363;4,08826277277449;4,34615685413266e-05;3,95490707003955;11,239105569171
"GESTATIONAL_AGE_ABCD1";"BIRTH_WEIGHT~MOD_VIG+GESTATIONAL_AGE+SEX";150,549311873476;4,43967838484644;33,9099589707518;4,75129336028924e-252;141,847702136236;159,250921610716
"SEX1_ABCD";"BIRTH_WEIGHT~MOD_VIG+GESTATIONAL_AGE+SEX";-138,123966887478;10,8146565734414;-12,7719235418609;2,35267545202077e-37;-159,320304276592;-116,927629498363
"(Intercept)_ABCD3";"MACROSOMIA~MOD_VIG+";-1,94792020149397;0,0469244806303675;-41,511811645569;0;-2,03989049352274;-1,8559499094652
"MOD_VIG_ABCD3";"MACROSOMIA~MOD_VIG+";0,0366900876357193;0,0114843732916187;3,1947836163159;0,00139935715146482;0,014181129599133;0,0591990456723057
"(Intercept)_ABCD4";"MACROSOMIA~MOD_VIG+GESTATIONAL_AGE";-24,5684220566211;1,39524732638476;-17,6086501597395;2,11427092494268e-69;-27,303056565861;-21,8337875473811
"MOD_VIG_ABCD4";"MACROSOMIA~MOD_VIG+GESTATIONAL_AGE";0,0307578646775505;0,0120596135569594;2,55048509906859;0,0107573122477602;0,00712145643843915;0,0543942729166619
"GESTATIONAL_AGE_ABCD2";"MACROSOMIA~MOD_VIG+GESTATIONAL_AGE";0,560872562829451;0,0343432307844334;16,3313861281704;5,9027844843882e-60;0,493561067379214;0,628184058279688
"(Intercept)_ABCD5";"MACROSOMIA~MOD_VIG+GESTATIONAL_AGE+SEX";-24,3480277579554;1,39828903094689;-17,412728855827;6,6058725127522e-68;-27,0886238985887;-21,6074316173221
"MOD_VIG_ABCD5";"MACROSOMIA~MOD_VIG+GESTATIONAL_AGE+SEX";0,0300801530715571;0,0121267790658717;2,48047341409982;0,0131208047977291;0,00631210285397417;0,05384820328914
"GESTATIONAL_AGE_ABCD3";"MACROSOMIA~MOD_VIG+GESTATIONAL_AGE+SEX";0,562908170244655;0,0344391618904309;16,3450020077597;4,72155434522916e-60;0,495408653281666;0,630407687207644
"SEX1_ABCD1";"MACROSOMIA~MOD_VIG+GESTATIONAL_AGE+SEX";-0,676453895961015;0,0768979016079332;-8,79677964959227;1,40798402450356e-18;-0,827171013599269;-0,525736778322761
"(Intercept)_ABCD6";"BIRTH_WEIGHT_LGA~MOD_VIG+";-1,95266491108731;0,00504005725350483;-387,429112978715;0;-1,9625432417842;-1,94278658039042
"MOD_VIG_ABCD6";"BIRTH_WEIGHT_LGA~MOD_VIG+";-0,00443318258143393;0,00134594559136069;-3,29373089810576;0,00098867101939474;-0,00707118746565134;-0,00179517769721652
"(Intercept)_ABCD7";"BIRTH_WEIGHT_LGA~MOD_VIG+GESTATIONAL_AGE";-2,25272431150706;0,128910549238561;-17,4750966838112;2,21769387544978e-68;-2,50538434524191;-2,0000642777722
"MOD_VIG_ABCD7";"BIRTH_WEIGHT_LGA~MOD_VIG+GESTATIONAL_AGE";-0,00458773065453315;0,00134712237837743;-3,40557823711529;0,000660240924910896;-0,00722804199892084;-0,00194741931014545
"GESTATIONAL_AGE_ABCD4";"BIRTH_WEIGHT_LGA~MOD_VIG+GESTATIONAL_AGE";0,00749751328828065;0,00321859629218523;2,32943575635275;0,0198359926817374;0,00118918047482345;0,0138058461017379
"(Intercept)_ABCD8";"BIRTH_WEIGHT_LGA~MOD_VIG+GESTATIONAL_AGE+SEX";-2,25449491427693;0,128971434231692;-17,480575661637;2,0145497522771e-68;-2,50727428040552;-2,00171554814833
"MOD_VIG_ABCD8";"BIRTH_WEIGHT_LGA~MOD_VIG+GESTATIONAL_AGE+SEX";-0,00458284774840443;0,00134724109467809;-3,40165376969848;0,000669794356526877;-0,0072233917724658;-0,00194230372434306
"GESTATIONAL_AGE_ABCD5";"BIRTH_WEIGHT_LGA~MOD_VIG+GESTATIONAL_AGE+SEX";0,00749445167221238;0,0032187937298135;2,3283417022956;0,0198939665815099;0,00118573188811456;0,0138031714563102
